Year,Month,Day,Period,Value
2023,1,19,22,17113.74104
2023,1,19,23,16895.17001
2023,1,19,24,16735.13156
2023,1,20,1,16268.35276
2023,1,20,2,15540.02964
2023,1,20,3,15027.31387
2023,1,20,4,14281.94962
2023,1,20,5,13961.87272
2023,1,20,6,13718.85138
2023,1,20,7,13834.4347
2023,1,20,8,13866.2942
2023,1,20,9,14523.48913
2023,1,20,10,15423.70539
2023,1,20,11,16456.54612
2023,1,20,12,17729.44451
2023,1,20,13,17833.91405
2023,1,20,14,17519.02359
2023,1,20,15,17169.30994
2023,1,20,16,17158.19616
2023,1,20,17,17087.80888
2023,1,20,18,17049.28111
2023,1,20,19,17073.73143
2023,1,20,20,17394.54924
2023,1,20,21,17527.91461
2023,1,20,22,17265.62938
2023,1,20,23,17095.95899
2023,1,20,24,16730.68605
2023,1,21,1,16176.47883
2023,1,21,2,15379.25027
2023,1,21,3,14783.5516
2023,1,21,4,14029.29633
2023,1,21,5,13792.94325
2023,1,21,6,13646.24134
2023,1,21,7,13583.26325
2023,1,21,8,13744.78353
2023,1,21,9,14364.93252
2023,1,21,10,15133.26525
2023,1,21,11,16083.86399
2023,1,21,12,17207.83772
2023,1,21,13,17325.6438
2023,1,21,14,16974.44832
2023,1,21,15,16566.94301
2023,1,21,16,16242.4206
2023,1,21,17,16221.67488
2023,1,21,18,16225.37947
2023,1,21,19,16353.55841
2023,1,21,20,16871.46061
2023,1,21,21,17106.33185
2023,1,21,22,16829.22824
2023,1,21,23,16325.4035
2023,1,21,24,16193.51996
2023,1,22,1,15548.17974
2023,1,22,2,14791.70171
2023,1,22,3,14076.71513
2023,1,22,4,13458.04798
2023,1,22,5,13145.38027
2023,1,22,6,12924.58649
2023,1,22,7,12834.1944
2023,1,22,8,12890.50423
2023,1,22,9,13506.94862
2023,1,22,10,14350.85506
2023,1,22,11,15083.62369
2023,1,22,12,15979.39445
2023,1,22,13,15969.76251
2023,1,22,14,15914.93452
2023,1,22,15,15681.54512
2023,1,22,16,15463.71501
2023,1,22,17,15489.64716
2023,1,22,18,15587.44844
2023,1,22,19,15709.70003
2023,1,22,20,16118.68717
2023,1,22,21,16297.24859
2023,1,22,22,16043.11346
2023,1,22,23,15657.83572
2023,1,22,24,15329.60871
2023,1,23,1,14734.65097
2023,1,23,2,14048.56021
2023,1,23,3,13521.76699
2023,1,23,4,12850.49461
2023,1,23,5,12438.54379
2023,1,23,6,12225.90012
2023,1,23,7,12156.99467
2023,1,23,8,12247.38676
2023,1,23,9,12483.73984
2023,1,23,10,12831.97164
2023,1,23,11,13362.46946
2023,1,23,12,14387.901
2023,1,23,13,14928.03076
2023,1,23,14,14839.12051
2023,1,23,15,14832.45224
2023,1,23,16,14910.24871
2023,1,23,17,14909.50779
2023,1,23,18,14948.03556
2023,1,23,19,15099.92391
2023,1,23,20,15523.72942
2023,1,23,21,15747.48688
2023,1,23,22,15416.29621
2023,1,23,23,15029.53663
2023,1,23,24,14796.14722
2023,1,24,1,14248.60827
2023,1,24,2,13649.94593
2023,1,24,3,13159.45773
2023,1,24,4,12521.52669
2023,1,24,5,12098.46209
2023,1,24,6,11765.04866
2023,1,24,7,11720.59354
2023,1,24,8,11783.57163
2023,1,24,9,11973.98774
2023,1,24,10,12188.85418
2023,1,24,11,12640.81461
2023,1,24,12,13598.08162
2023,1,24,13,14224.15796
2023,1,24,14,14220.45336
2023,1,24,15,14210.0805
2023,1,24,16,14124.13393
2023,1,24,17,14143.39781
2023,1,24,18,14155.99343
2023,1,24,19,14348.6323
2023,1,24,20,14991.74977
2023,1,24,21,15202.91161
2023,1,24,22,15110.29677
2023,1,24,23,14830.9704
2023,1,24,24,14729.46454
2023,1,25,1,14121.17025
2023,1,25,2,13321.71893
2023,1,25,3,12768.99355
2023,1,25,4,12122.17149
2023,1,25,5,11706.51608
2023,1,25,6,11544.25488
2023,1,25,7,11482.75862
2023,1,25,8,11730.22548
2023,1,25,9,12419.27991
2023,1,25,10,13770.71569
2023,1,25,11,14574.61252
2023,1,25,12,15382.21395
2023,1,25,13,15781.56915
2023,1,25,14,15755.63699
2023,1,25,15,15621.5307
2023,1,25,16,15577.81649
2023,1,25,17,15633.3854
2023,1,25,18,15673.39501
2023,1,25,19,15677.0996
2023,1,25,20,15807.5013
2023,1,25,21,15878.6295
2023,1,25,22,15494.09267
2023,1,25,23,15245.8849
2023,1,25,24,14953.222
2023,1,26,1,14450.13817
2023,1,26,2,13617.34551
2023,1,26,3,13043.13349
2023,1,26,4,12197.00429
2023,1,26,5,11890.26393
2023,1,26,6,11556.85049
2023,1,26,7,11725.77997
2023,1,26,8,11837.6587
2023,1,26,9,12496.33546
2023,1,26,10,13569.92671
2023,1,26,11,14617.58581
2023,1,26,12,15339.98158
2023,1,26,13,15490.38808
2023,1,26,14,15327.38596
2023,1,26,15,15242.1803
2023,1,26,16,14985.82242
2023,1,26,17,14998.41804
2023,1,26,18,15038.42765
2023,1,26,19,15263.66695
2023,1,26,20,15674.87685
2023,1,26,21,15928.27106
2023,1,26,22,15680.8042
2023,1,26,23,15426.66907
2023,1,26,24,15132.52433
2023,1,27,1,14627.21775
2023,1,27,2,13776.64304
2023,1,27,3,13046.09716
2023,1,27,4,12436.32104
2023,1,27,5,12051.78421
2023,1,27,6,11799.87184
2023,1,27,7,11771.71693
2023,1,27,8,11913.23241
2023,1,27,9,12591.17305
2023,1,27,10,13841.10297
2023,1,27,11,14802.81549
2023,1,27,12,15563.73904
2023,1,27,13,15910.48901
2023,1,27,14,15702.29084
2023,1,27,15,15790.46017
2023,1,27,16,15639.31275
2023,1,27,17,15734.89127
2023,1,27,18,15737.11402
2023,1,27,19,15754.15515
2023,1,27,20,15853.43826
2023,1,27,21,16080.90032
2023,1,27,22,15871.22031
2023,1,27,23,15455.5649
2023,1,27,24,15236.25295
2023,1,28,1,14633.88602
2023,1,28,2,13805.53887
2023,1,28,3,13152.04854
2023,1,28,4,12477.81249
2023,1,28,5,12130.3216
2023,1,28,6,11855.44075
2023,1,28,7,11790.2399
2023,1,28,8,12128.09884
2023,1,28,9,12641.55553
2023,1,28,10,13723.29689
2023,1,28,11,14810.22468
2023,1,28,12,15637.08999
2023,1,28,13,15798.61028
2023,1,28,14,15738.59586
2023,1,28,15,15579.29833
2023,1,28,16,15533.36137
2023,1,28,17,15536.32504
2023,1,28,18,15417.03713
2023,1,28,19,15441.48744
2023,1,28,20,15757.85975
2023,1,28,21,16135.7283
2023,1,28,22,15811.2059
2023,1,28,23,15590.41211
2023,1,28,24,15191.79783
2023,1,29,1,14669.45012
2023,1,29,2,13898.89463
2023,1,29,3,13235.03144
2023,1,29,4,12551.16344
2023,1,29,5,12254.05503
2023,1,29,6,12088.08923
2023,1,29,7,12197.00429
2023,1,29,8,12319.25588
2023,1,29,9,13024.61052
2023,1,29,10,14029.29633
2023,1,29,11,14873.20277
